iter	Passed	Remaining
406	38386	55929
407	38487	55844
408	38595	55769
409	38672	55651
410	38762	55550
411	38848	55444
412	38950	55360
413	39044	55266
414	39161	55204
415	39295	55164
416	39410	55099
417	39499	54997
418	39601	54913
419	39683	54801
420	39783	54713
421	39860	54595
422	39958	54506
423	40058	54418
424	40154	54327
425	40289	54286
426	40388	54197
427	40486	54108
428	40582	54015
429	40672	53914
430	40756	53805
431	40856	53719
432	40932	53599
433	41037	53519
434	41194	53506
435	41301	53426
436	41369	53297
437	41471	53212
438	41562	53113
439	41661	53023
440	41755	52927
441	41863	52850
442	41944	52738
443	42030	52633
444	42102	52509
445	42222	52446
446	42329	52367
447	42404	52248
448	42487	52139
449	42587	52051
450	42679	51953
451	42779	51865
452	42875	51772
453	42963	51669
454	43051	51566
455	43133	51456
456	43223	51357
457	43314	51258
458	43396	51149
459	43526	51095
460	43599	50975
461	43683	50869
462	43777	50774
463	43908	50721
464	43985	50606
465	44080	50513
466	44184	50428
467	44257	50309
468	44342	50204
469	44406	50075
470	44496	49976
471	44600	49892
472	44671	49770
473	44802	49717
474	44915	49643
475	45008	49547
476	45075	49422
477	45145	49300
478	45215	49179
479	45291	49065
480	45391	48977
481	45467	48863
482	45567	48774
483	45632	48649
484	45754	48584
485	45862	48504
486	45941	48394
487	46049	48313
488	46133	48209
489	46254	48142
490	46333	48031
491	46428	47938
492	46500	47820
493	46561	47692
494	46646	47588
495	46717	47471
496	46850	47416
497	46920	47297
498	47046	47234
499	47145	47145
500	47230	47041
501	47313	46936
502	47411	46846
503	47507	46753
504	47611	46668
505	47706	46575
506	47805	46485
507	47911	46402
508	47979	46282
509	48107	46220
510	48233	46157
511	48326	46060
512	48423	45969
513	48508	45866
514	48599	45768
515	48676	45657
516	48778	45570
517	48885	45487
518	48955	45371
519	49025	45254
520	49122	45162
521	49189	45043
522	49266	44933
523	49390	44865
524	49460	44749
525	49544	44646
526	49644	44557
527	49738	44463
528	49840	44376
529	49964	44308
530	50037	44194
531	50099	44072
532	50189	43974
533	50267	43866
534	50365	43775
535	50455	43678
536	50506	43546
537	50540	43401
538	50572	43254
539	50605	43108
540	50639	42963
541	50673	42819
542	50714	42682
543	50765	42553
544	50963	42547
545	51150	42531
546	51243	42437
547	51353	42357
548	51542	42341
549	51691	42292
550	51853	42254
551	52012	42212
552	52180	42178
553	52299	42104
554	52457	42060
555	52572	41982
556	52661	41883
557	52783	41810
558	52901	41734
559	52991	41635
560	53081	41537
561	53145	41419
562	53241	41325
563	53344	41237
564	53464	41162
565	53623	41117
566	53746	41044
567	53827	40939
568	53933	40852
569	54021	40752
570	54110	40653
571	54240	40585
572	54327	40485
573	54404	40376
574	54494	40278
575	54591	40185
576	54682	40087
577	54759	39980
578	54843	39877
579	54931	39777
580	55089	39729
581	55160	39617
582	55268	39531
583	55350	39427
584	55434	39325
585	55516	39221
586	55621	39133
587	55690	39021
588	55768	38915
589	55866	38822
590	55941	38713
591	56030	38615
592	56112	38511
593	56190	38405
594	56290	38315
595	56371	38211
596	56471	38120
597	56557	38020
598	56628	37909
599	56731	37820
600	56815	37719
601	56937	37642
602	57066	37570
603	57137	37460
604	57200	37346
605	57294	37251
606	57375	37147
607	57477	37057
608	57542	36944
609	57705	36893
610	57781	36787
611	58066	36813
612	58218	36754
613	58274	36634
614	58329	36515
615	58395	36402
616	58449	36282
617	58675	36268
618	59146	36405
619	59674	36574
620	59995	36615
621	60105	36527
622	60219	36441
623	60333	36354
624	60484	36290
625	60649	36234
626	60812	36177
627	60911	36081
628	61114	36046
629	61200	35943
630	61449	35934
631	61632	35887
632	61773	35814
633	61850	35705
634	62053	35668
635	62186	35590
636	62314	35510
637	62440	35428
638	62508	35313
639	62722	35281
640	62906	35231
641	63028	35146
642	63412	35207
643	63697	35211
644	63984	35216
645	64281	35225
646	64526	35205
647	65016	35317
648	65560	35457
649	65736	35396
650	65822	35287
651	65957	35204
652	66069	35109
653	66206	35026
654	66336	34940
655	66452	34847
656	66558	34748
657	66731	34684
658	66877	34605
659	67015	34523
660	67144	34435
661	67270	34346
662	67379	34248
663	67501	34157
664	67597	34052
665	67700	33952
666	67809	33853
667	67923	33758
668	68034	33661
669	68158	33570
670	68267	33472
671	68360	33366
672	68536	33301
673	68657	33208
674	68801	33126
675	68888	33017
676	68977	32909
677	69095	32815
678	69185	32707
679	69296	32610
680	69449	32532
681	69625	32464
682	69770	32382
683	69862	32275
684	69975	32178
685	70091	32082
686	70170	31969
687	70318	31888
688	70475	31811
689	70792	31805
690	70911	31710
691	71077	31635
692	71220	31550
693	71404	31483
694	71566	31406
695	71900	31404
696	72042	31318
697	72163	31222
698	72351	31155
699	72458	31053
700	72571	30954
701	72615	30825
702	72660	30697
703	72699	30566
704	72740	30437
705	72777	30306
706	72818	30177
707	72851	30046
708	73067	29989
709	73178	29889
710	73246	29772
711	73278	29640
712	73311	29509
713	73346	29379
714	73377	29248
715	73412	29118
716	73444	28988
717	73481	28860
718	73533	28738
719	73568	28609
720	73602	28481
721	73630	28350
722	73665	28223
723	73699	28095
724	73737	27969
725	73775	27843
726	73810	27716
727	73853	27593
728	73889	27467
729	73928	27343
730	73962	27217
731	73995	27091
732	74026	26964
733	74055	26837
734	74088	26712
735	74121	26587
736	74154	26462
737	74185	26336
738	74219	26212
739	74255	26089
740	74287	25965
741	74316	25840
742	74348	25716
743	74379	25592
744	74413	25470
745	74444	25347
746	74478	25225
747	74508	25101
748	74541	24979
749	74580	24860
750	74615	24739
751	74653	24619
752	74693	24501
753	74729	24381
754	74775	24264
755	74816	24147
756	74840	24024
757	74874	23904
758	74907	23784
759	74942	23666
760	74974	23546
761	75009	23428
762	75042	23309
763	75076	23191
764	75107	23072
765	75142	22954
766	75176	22837
767	75200	22716
768	75228	22598
769	75259	22480
770	75291	22362
771	75323	22245
772	75357	22129
773	75387	22012
774	75419	21895
775	75452	21780
776	75480	21663
777	75510	21546
778	75538	21430
779	75572	21315
780	75603	21200
781	75640	21086
782	75672	20971
783	75701	20856
784	75731	20741
785	75767	20628
786	75801	20515
787	75833	20402
788	75866	20288
789	75900	20175
790	75941	20065
791	75974	19952
792	76032	19846
793	76080	19738
794	76124	19629
795	76165	19519
796	76202	19409
797	76243	19299
798	76275	19188
799	76307	19076
800	76619	19035
801	77133	19042
802	77610	19040
803	77858	18980
804	77982	18890
805	78074	18792
806	78184	18698
807	78304	18607
808	78432	18517
809	78536	18422
810	78723	18346
811	78885	18264
812	78982	18167
813	79077	18069
814	79208	17979
815	79407	17905
816	79561	17820
817	79676	17727
818	79790	17633
819	79971	17554
820	80140	17472
821	80283	17384
822	80415	17294
823	80550	17204
824	80679	17113
825	80891	17040
826	81064	16957
827	81203	16868
828	81350	16780
829	81471	16686
830	81638	16602
831	81767	16510
832	81909	16421
833	81999	16321
834	82086	16220
835	82248	16134
836	82372	16041
837	82481	15945
838	82599	15850
839	82702	15752
840	82832	15660
841	82965	15568
842	83128	15481
843	83252	15387
844	83422	15302
845	83541	15207
846	83655	15111
847	83818	15024
848	83945	14930
849	84098	14840
850	84202	14742
851	84285	14641
852	84395	14544
853	84602	14463
854	84746	14372
855	84845	14273
856	84963	14177
857	85052	14076
858	85097	13968
859	85144	13860
860	85211	13756
861	85258	13649
862	85292	13540
863	85328	13431
864	85540	13350
865	85648	13252
866	85838	13167
867	86236	13114
868	86342	13016
869	86395	12909
870	86442	12802
871	86482	12694
872	86523	12586
873	86561	12479
874	86601	12371
875	86778	12283
876	86973	12198
877	87135	12107
878	87211	12005
879	87302	11904
880	87347	11798
881	87394	11692
882	87437	11585
883	88072	11557
884	88319	11476
885	88445	11380
886	88519	11277
887	88588	11173
888	88653	11069
889	88718	10965
890	88790	10862
891	88855	10758
892	88924	10655
893	88994	10551
894	89071	10449
895	89147	10347
896	89226	10245
897	89293	10142
898	89363	10039
899	89439	9937
900	89508	9835
901	89582	9732
902	89668	9632
903	89735	9529
904	89799	9426
905	89874	9324
906	90126	9241
907	90181	9137
908	90259	9035
909	90358	8936
910	90415	8833
911	90457	8728
912	90507	8624
913	90548	8519
914	90598	8416
915	91022	8347
916	91690	8299
917	91829	8202
918	91902	8100
919	91945	7995
920	91989	7890
921	92031	7785
922	92071	7680
923	92205	7584
924	92388	7490
925	92614	7401
926	92768	7305
927	92916	7209
928	92946	7103
929	92976	6998
930	93015	6893
931	93045	6788
932	93077	6684
933	93112	6579
934	93334	6488
935	93596	6399
936	93743	6302
937	94334	6235
938	94540	6141
939	94664	6042
940	94777	5942
941	94923	5844
942	95106	5748
943	95476	5663
944	95599	5563
945	95682	5461
946	95777	5360
947	95935	5262
948	96404	5180
949	96490	5078
950	96610	4977
951	96810	4881
952	96913	4779
953	97064	4680
954	97198	4580
955	97376	4481
956	97587	4384
957	97708	4283
958	97894	4185
959	98018	4084
960	98772	4008
961	98976	3909
962	99204	3811
963	99304	3708
964	99409	3605
965	99571	3504
966	99739	3403
967	99902	3302
968	100026	3200
969	100168	3097
970	100280	2994
971	100399	2892
972	100532	2789
973	100680	2687
974	100818	2585
975	101199	2488
976	101356	2386
977	101496	2283
978	101602	2179
979	101748	2076
980	101895	1973
981	102036	1870
982	102142	1766
983	102253	1662
984	102382	1559
985	102511	1455
986	102631	1351
987	102739	1247
988	102844	1143
989	102939	1039
990	103057	935
991	103170	832
992	103543	729
993	103724	626
994	103839	521
995	103903	417
996	104013	312
997	104293	209
998	104489	104
999	104644	0
