iter	CrossEntropy
0	0.6470028305
1	0.6192761751
2	0.600994761
3	0.5861382384
4	0.5771802218
5	0.5671832004
6	0.5602876306
7	0.5548400603
8	0.5501702049
9	0.5461680382
10	0.5428664891
11	0.5383479279
12	0.5357437223
13	0.5335645396
14	0.5317789013
15	0.5296590322
16	0.5273885219
17	0.5256351542
18	0.5242207389
19	0.5187925133
20	0.5174916768
21	0.5163327303
22	0.5150133185
23	0.5138297772
24	0.512424062
25	0.510744129
26	0.5093863319
27	0.5088747121
28	0.5082238849
29	0.5075189341
30	0.5065406599
31	0.5045514939
32	0.503649428
33	0.5031587662
34	0.5025983773
35	0.5020594322
36	0.5008036992
37	0.5004810695
38	0.5000303512
39	0.4958343872
40	0.495106239
41	0.4947952269
42	0.4943668749
43	0.4939415531
44	0.493502936
45	0.4931291276
46	0.4927709177
47	0.4922126049
48	0.4918983182
49	0.491601313
50	0.4906268183
51	0.4903263062
52	0.4899559965
53	0.4895979218
54	0.4892647404
55	0.4890022619
56	0.4868416159
57	0.4862670472
58	0.4848753552
59	0.4802690417
60	0.4762063612
61	0.473369431
62	0.4729196591
63	0.4722228192
64	0.4715274498
65	0.4706564889
66	0.4664975745
67	0.4660327487
68	0.465667647
69	0.4608501898
70	0.4591034788
71	0.4577115369
72	0.4570825329
73	0.4565669698
74	0.456305874
75	0.4532043633
76	0.4512967942
77	0.4505376432
78	0.4500526354
79	0.4463767689
80	0.4434712489
81	0.4415528917
82	0.4410736308
83	0.4393200141
84	0.4391016755
85	0.4372253623
86	0.4365140011
87	0.4348298276
88	0.4338192098
89	0.4326785566
90	0.4321445734
91	0.4313053797
92	0.4305204588
93	0.4300415427
94	0.429799889
95	0.429570689
96	0.4292825413
97	0.428001118
98	0.4271307752
99	0.4267629802
100	0.4248262854
101	0.4238939755
102	0.4232795509
103	0.4231354154
104	0.4229613874
105	0.4223360704
106	0.421042703
107	0.420515221
108	0.419838603
109	0.4189768354
110	0.4186740376
111	0.4185063282
112	0.4176064395
113	0.4174846403
114	0.4169749325
115	0.4167195817
116	0.4163516123
117	0.4155708829
118	0.4148554979
119	0.414143714
120	0.4138751221
121	0.4135955768
122	0.4127460814
123	0.4125934801
124	0.4125816375
125	0.4124264114
126	0.4122167425
127	0.4120052191
128	0.4118565404
129	0.4117379832
130	0.4110351572
131	0.4108196537
132	0.4105640194
133	0.4100613668
134	0.4098149844
135	0.4096701731
136	0.4095126535
137	0.4092098981
138	0.4090046522
139	0.4087066735
140	0.4086980086
141	0.4085858724
142	0.4084767128
143	0.4083643225
144	0.4082144584
145	0.4076858633
146	0.4072278433
147	0.4065723803
148	0.4065459759
149	0.4064416807
150	0.4061379173
151	0.4058823036
152	0.4050184542
153	0.4047896829
154	0.4042829786
155	0.4036612645
156	0.4035075852
157	0.4033049176
158	0.402864929
159	0.4026722266
160	0.402479024
161	0.4023823665
162	0.4020850332
163	0.4020777808
164	0.40190585
165	0.4017512669
166	0.4014007146
167	0.4012702361
168	0.4011222315
169	0.400935416
170	0.4009289581
171	0.4004784621
172	0.4003462988
173	0.400273012
174	0.3997251347
175	0.3994019798
176	0.3993011711
177	0.3989526819
178	0.3986732567
179	0.3985438271
180	0.3983635588
181	0.398225327
182	0.3979921605
183	0.3979070215
184	0.3977651168
185	0.3975856366
186	0.3973658602
187	0.3969718539
188	0.3967687233
189	0.3966660315
190	0.3964864033
191	0.3959383514
192	0.3957645977
193	0.3953579639
194	0.3952595548
195	0.3951357389
196	0.3947748942
197	0.3947076535
198	0.3945439692
199	0.3943812033
200	0.39431086
201	0.3942324807
202	0.3941424299
203	0.394001775
204	0.3939317478
205	0.3937651841
206	0.3935599054
207	0.3934652333
208	0.3934127145
209	0.3931444352
210	0.3930887193
211	0.3930252177
212	0.3927960364
213	0.3926345154
214	0.3926282793
215	0.3926053568
216	0.3925099892
217	0.3923801832
218	0.3922963203
219	0.3921588057
220	0.3920818039
221	0.3915540922
222	0.3914165746
223	0.3909138456
224	0.3908574599
225	0.3900315784
226	0.388949339
227	0.3888075745
228	0.3886887016
229	0.3883967325
230	0.3882356155
231	0.3880365654
232	0.3876468061
233	0.3874699676
234	0.3870823382
235	0.3866206302
236	0.386582309
237	0.3863817898
238	0.3861904981
239	0.3859802587
240	0.3858366103
241	0.3854737747
242	0.3852856346
243	0.3846680458
244	0.384565167
245	0.384255215
246	0.3841355857
247	0.3840532118
248	0.38390376
249	0.3837824769
250	0.3837199699
251	0.3833386553
252	0.3832355981
253	0.3831356343
254	0.3830300146
255	0.3829465045
256	0.3828688027
257	0.382772682
258	0.3826873847
259	0.3825698958
260	0.3824753973
261	0.3824066079
262	0.3823071088
263	0.3822507266
264	0.3822354775
265	0.3822333113
266	0.3821428547
267	0.3820761128
268	0.3820746706
269	0.381924229
270	0.3818470154
271	0.381780108
272	0.381581315
273	0.3815013903
274	0.3811643224
275	0.38109604
276	0.3807852131
277	0.3805858401
278	0.3805327169
279	0.380068918
280	0.3799457636
281	0.3799008175
282	0.3796405555
283	0.3791362192
284	0.3790197236
285	0.3789326717
286	0.3788657322
287	0.3787835179
288	0.3785051493
289	0.3782861769
290	0.3781500458
291	0.378148673
292	0.3779264882
293	0.3778289586
294	0.3777625215
295	0.3776841444
296	0.3775892229
297	0.3774835639
298	0.3773491538
299	0.3771587091
300	0.3770398176
301	0.376979802
302	0.376909217
303	0.3768090413
304	0.376725569
305	0.376724232
306	0.3763051815
307	0.3762150287
308	0.3761361982
309	0.3760817988
310	0.3759947711
311	0.3758185786
312	0.3756934225
313	0.3756272723
314	0.3753536356
315	0.3752641706
316	0.3752238363
317	0.3751380999
318	0.3750786635
319	0.3749602657
320	0.374784648
321	0.3747233454
322	0.3746596907
323	0.3745831071
324	0.3745121069
325	0.3742272385
326	0.374165159
327	0.3739119506
328	0.373678693
329	0.3736010554
330	0.373311631
331	0.3731234576
332	0.3730858707
333	0.3729135164
334	0.372774675
335	0.3725728321
336	0.3723318689
337	0.3721759623
338	0.3720740516
339	0.3719157977
340	0.371840011
341	0.3717442449
342	0.3716268579
343	0.3715288586
344	0.3714563087
345	0.3713985343
346	0.371308832
347	0.371207414
348	0.3711830934
349	0.3711102197
350	0.3710621419
351	0.3709690804
352	0.3709041465
353	0.3708699863
354	0.3707765553
355	0.370597041
356	0.3705362047
357	0.3704451146
358	0.3703717467
359	0.370249054
360	0.3701819563
361	0.3699639569
362	0.3698975312
363	0.3698294123
364	0.3697798186
365	0.369712624
366	0.3696479931
367	0.3694702343
368	0.3694111073
369	0.3692675004
370	0.3689460239
371	0.3685403159
372	0.3684564748
373	0.3683731773
374	0.3679690883
375	0.3678854085
376	0.3678150843
377	0.3676714156
378	0.3675893745
379	0.3675186561
380	0.3674425663
381	0.3671114066
382	0.3670266662
383	0.3669134685
384	0.3668522427
385	0.3667930438
386	0.3666548172
387	0.3664393648
388	0.3663591069
389	0.3661390856
390	0.3660670466
391	0.3660001511
392	0.3659402614
393	0.3658527619
394	0.3657878964
395	0.3656973874
396	0.3656650469
397	0.3655785017
398	0.3655100213
399	0.3654682697
400	0.365366908
401	0.3652894061
402	0.3652624705
403	0.3652001301
404	0.3651162993
405	0.3650230903
406	0.3648998248
407	0.3647979078
408	0.3647455903
409	0.3646873882
